Nombre serie,Unidades,Tema dataset,Frecuencia,Cantidad,Detalles,IDs
Administración Pública Nacional. Valores mensuales 1993-2006,Millones de pesos,Finanzas Públicas,M,73,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006,372.7_AP_FIN_AMO006_0_M_55_10 | 372.7_AP_FIN_AMO006_0_M_57_65 | 372.7_AP_FIN_AMO006__55_48 | 372.7_AP_FIN_AMO006__57_89 | 372.7_AP_FIN_CAM006__58_85
Administración Pública Nacional. Valores anuales 1993-2006,Millones de pesos,Finanzas Públicas,A,72,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006,372.1_AP_FIN_AMO006_II_0_A_55_43 | 372.1_AP_FIN_AMO006_I_0_A_57_28 | 372.1_AP_FIN_AMO006__55_93 | 372.1_AP_FIN_AMO006__57_60 | 372.1_AP_FIN_CAM006__58_86
Insumo de mano de obra por sector de actividad económica. Datos trimestrales.,En millones de pesos,Actividad,T,71,a agricultura ganaderia caza silv puestos trabajo | a agricultura ganaderia caza silv asalariados no reg | a agricultura gan caza silv puestos trabajo asalariado reg | a agricultura ganaderia caza silv puestos trab no asal | b pesca asalariados no reg,324.1_A_AGRICULTAJO__49 | 324.1_A_AGRICULTREG__52 | 324.1_A_AGRICULTREG__58 | 324.1_A_AGRICULTSAL__54 | 324.1_B_PESCA_ASREG__26
"Estadisticas de servicios públicos, series de insumos e índices. Valores semanales",2004=100,Actividad,M,70,"Correos. Correo postal en miles de unidades | Correos. Envios monetarios en miles de unidades | Correos. Telegraficos en miles de unidades | Electricidad, gas y agua. Energía electrica en Gwh | Electricidad, gas y agua. Agua de red en miles de m3",302.3_CORREOS_COS_U_0_S_29 | 302.3_CORREOS_ENS_U_0_S_33 | 302.3_CORREOS_TES_U_0_S_28 | 302.3_ELEC_GAS_AGWH_0_S_35 | 302.3_ELEC_GAS_A_M3_0_S_30
"Estadisticas de servicios públicos, series de insumos e índices. Valores anuales",2004=100,Actividad,A,69,"Correos. Correo postal en miles de unidades | Correos. Envios monetarios en miles de unidades | Correos. Telegraficos en miles de unidades | Electricidad, gas y agua. Energía electrica en Gwh | Electricidad, gas y agua. Agua de red en miles de m3",302.1_CORREOS_COS_U_0_A_29 | 302.1_CORREOS_ENS_U_0_A_33 | 302.1_CORREOS_TES_U_0_A_28 | 302.1_ELEC_GAS_AGWH_0_A_35 | 302.1_ELEC_GAS_A_M3_0_A_31
"Estadisticas de servicios públicos, series de insumos e índices. Valores mensuales",2004=100,Actividad,T,69,"Correos. Correo postal en miles de unidades | Correos. Envios monetarios en miles de unidades | Correos. Telegraficos en miles de unidades | Electricidad, gas y agua. Energía electrica en Gwh | Electricidad, gas y agua. Agua de red en miles de m3",302.2_CORREOS_COS_U_0_M_29 | 302.2_CORREOS_ENS_U_0_M_33 | 302.2_CORREOS_TES_U_0_M_28 | 302.2_ELEC_GAS_AGWH_0_M_35 | 302.2_ELEC_GAS_A_M3_0_M_30
VAP - Valor Agregado Bruto a precios básicos por rama de actividad económica. Valores anuales a precios corrientes,Millones de pesos corrientes,Actividad,A,68,"Resto | Actividades inmobiliarias, empresariales y de alquiler. Total | Servicios inmobiliarios con bienes propios y arrendados | Administración pública y defensa; planes de seguridad social de afiliación obligatoria | Agricultura, ganaderia, caza. Total",305.1_ACT_INMOBISTO_0_36 | 305.1_ACT_INMOBITAL_0_36 | 305.1_ACT_INMO_EDOS_0_56 | 305.1_ADM_PUB_DERIA_0_59 | 305.1_AGRI_GANADTAL_0_A_27
VAP - Valor Agregado Bruto a precios básicos por rama de actividad económica. Valores trimestrales a precios corrientes,Millones de pesos corrientes,Actividad,T,68,"Resto | Actividades inmobiliarias, empresariales y de alquiler. Total | Servicios inmobiliarios con bienes propios y arrendados | Administración pública y defensa; planes de seguridad social de afiliación obligatoria | Agricultura, ganaderia, caza. Total",305.2_ACT_INMOBISTO_0_36 | 305.2_ACT_INMOBITAL_0_36 | 305.2_ACT_INMO_EDOS_0_56 | 305.2_ADM_PUB_DERIA_0_59 | 305.2_AGRI_GANADTAL_0_27
Valor Agregado Bruto a precios básicos por rama de actividad económica. Valores anuales a precios constantes,millones de pesos corrientes,Actividad,A,68,"Valor agregado bruto a precios básicos del sector actividades inmobiliarias empresariales y alquiler | Valor agregado bruto a precios básicos del sector administracion publica y defensa | Valor agregado bruto a precios básicos del sector agricultura, ganaderia, caza y silvicultura | Valor agregado bruto a precios básicos del sector agricultura, ganaderia, caza y servicios conexos | Valor agregado bruto a precios básicos del sector asociaciones",307.1_ACTIVIDADETAL_0_A_54 | 307.1_ADMINISTRANSA_0_A_30 | 307.1_AGRICULTURTAL_0_A_45 | 307.1_AGRICULTURXOS_0_A_44 | 307.1_ASOCIACIONNES_0_A_12
Valor Agregado Bruto a precios básicos por rama de actividad económica. Valores trimestrales a precios constantes,millones de pesos corrientes,Actividad,T,68,"Valor agregado bruto a precios básicos del sector actividades inmobiliarias empresariales y alquiler | Valor agregado bruto a precios básicos del sector administracion publica y defensa | Valor agregado bruto a precios básicos del sector agricultura, ganaderia, caza y silvicultura | Valor agregado bruto a precios básicos del sector agricultura, ganaderia, caza y servicios conexos | Valor agregado bruto a precios básicos del sector asociaciones",307.2_ACTIVIDADETAL_0_T_54 | 307.2_ADMINISTRANSA_0_T_30 | 307.2_AGRICULTURTAL_0_T_45 | 307.2_AGRICULTURXOS_0_T_44 | 307.2_ASOCIACIONNES_0_T_12
Valor Bruto de Producción a precios básicos por rama de actividad económica. En  millones de pesos corrientes,Millones de pesos,Actividad,A,68,"Administración pública y defensa; planes de seguridad social de afiliación obligatoria | Asociaciones | Captación, depuración y distribución de agua | Caza, repoblación de animales de caza y servicios conexos | Comercio mayorista, minorista y reparaciones",441.1_ADMI_PUBLIRIA_0_0_52_94 | 441.1_ASOCIACIONNES_0_0_12_48 | 441.1_CAPTACION_GUA_0_0_38_99 | 441.1_CAZA_REPOBXOS_0_0_48_32 | 441.1_COMERCIO_MNES_0_0_41_97
Valor Bruto de Producción a precios básicos por rama de actividad económica. En millones de pesos de 2004,Millones de pesos,Actividad,A,68,"Administración pública y defensa; planes de seguridad social de afiliación obligatoria | Asociaciones | Captación, depuración y distribución de agua | Caza, repoblación de animales de caza y servicios conexos | Comercio mayorista, minorista y reparaciones",440.1_ADMI_PUBLIRIA_2004_0_52_35 | 440.1_ASOCIACIONNES_2004_0_12_19 | 440.1_CAPTACION_GUA_2004_0_38_74 | 440.1_CAZA_REPOBXOS_2004_0_48_43 | 440.1_COMERCIO_MNES_2004_0_41_20
Índice de Precios Implícitos del Valor Agregado Bruto por rama de actividad económica. Valores anuales,2004=100,Actividad,A,68,"Índice de Precios Implícitos del Valor Agregado Bruto de Actividades inmobiliarias empresariales y alquiler | Índice de Precios Implícitos del Valor Agregado Bruto de Administracion Publica y Defensa | Índice de Precios Implícitos del Valor Agregado Bruto de Agricultura, ganaderia, caza y silvicultura | Índice de Precios Implícitos del Valor Agregado Bruto de Agricultura, ganaderia, caza y servicios conexos | Índice de Precios Implícitos del Valor Agregado Bruto de Asociaciones",306.1_ACTIVIDADETAL_0_A_54 | 306.1_ADMINISTRANSA_0_A_30 | 306.1_AGRICULTURTAL_0_A_45 | 306.1_AGRICULTURXOS_0_A_44 | 306.1_ASOCIACIONNES_0_A_12
Índice de Precios Implícitos del Valor Agregado Bruto por rama de actividad económica. Valores trimestrales,2004=100,Actividad,T,68,"Índice de Precios Implícitos del Valor Agregado Bruto de Actividades inmobiliarias empresariales y alquiler | Índice de Precios Implícitos del Valor Agregado Bruto de Administracion Publica y Defensa | Índice de Precios Implícitos del Valor Agregado Bruto de Agricultura, ganaderia, caza y silvicultura | Índice de Precios Implícitos del Valor Agregado Bruto de Agricultura, ganaderia, caza y servicios conexos | Índice de Precios Implícitos del Valor Agregado Bruto de Asociaciones",306.2_ACTIVIDADETAL_0_0_54 | 306.2_ADMINISTRANSA_0_0_30 | 306.2_AGRICULTURTAL_0_0_45 | 306.2_AGRICULTURXOS_0_0_44 | 306.2_ASOCIACIONNES_0_0_12
"Índice de precios al consumidor GBA, principales aperturas. Base 1999. Datos anuales",Índice 1999=100,Precios,A,68,Alimentos y bebidas índice anual | Alimentos para consumir en el hogar índice anual | Aves frescas y congeladas índice anual | Aceites y grasas índice anual | Aceite mezcla índice anual,122.1_AB_1999_0_17 | 122.1_ACH_1999_0_24 | 122.1_AFC_1999_0_23 | 122.1_AG_1999_0_14 | 122.1_AM_1999_0_13
"Índice de precios al consumidor GBA, principales aperturas. Base 1999. Datos trimestrales",Índice 1999=100,Precios,M,68,Alimentos y bebidas índice mensual | Alimentos para consumir en el hogar índice mensual | Aves frescas y congeladas índice mensual | Aceites y grasas índice mensual | Aceite mezcla índice mensual,122.2_AB_1999_0_17 | 122.2_ACH_1999_0_24 | 122.2_AFC_1999_0_23 | 122.2_AG_1999_0_14 | 122.2_AM_1999_0_13
Sector Público Nacional. Valores anuales 2007-2014,Millones de pesos,Finanzas Públicas,A,67,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras disminucion del patrimonio . Metodología 2007 - 2014,379.2_AP_FIN_AMO014_II_0_A_55_54 | 379.2_AP_FIN_AMO014__55_45 | 379.2_AP_FIN_AMO014__57_61 | 379.2_AP_FIN_CIN014__25_52 | 379.2_AP_FIN_DIS014__24_6
Sector Público Nacional. Valores trimestrales 2007-2014,Millones de pesos,Finanzas Públicas,T,66,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras disminucion del patrimonio . Metodología 2007 - 2014,379.5_AP_FIN_AMO014_2_0_T_55_43 | 379.5_AP_FIN_AMO014__55_9 | 379.5_AP_FIN_AMO014__57_76 | 379.5_AP_FIN_CIN014__25_97 | 379.5_AP_FIN_DIS014__24_66
Tesoro Nacional. Valores mensuales 1993-2006,Millones de pesos,Finanzas Públicas,M,66,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006,373.7_AP_FIN_AMO006_0_M_55_39 | 373.7_AP_FIN_AMO006_0_M_57_0 | 373.7_AP_FIN_AMO006__55_89 | 373.7_AP_FIN_AMO006__57_93 | 373.7_AP_FIN_CAM006__58_99
Costo salarial por sector de actividad económica en el sector privado. Datos anuales.,Pesos,Actividad,A,65,"Actividades inmobiliarias, empresariales y de alquiler | Administración pública y defensa; planes de seguridad social de afiliación obligatoria | Agricultura, ganadería, caza y silvicultura | Agricultura, ganadería, caza y servicios conexos | Asociaciones",326.1_ACT_INMOBILER__40 | 326.1_ADM_PUBLICRIA__57 | 326.1_AGRI_GANADURA__32 | 326.1_AGRI_GANADXOS__32 | 326.1_ASOCIACIONNES__12
Costo salarial por sector de actividad económica en el sector privado. Datos trimestrales.,Pesos,Actividad,T,65,"actividades inmobiliarias, empresariales y de alquiler | administración pública y defensa; planes de seguridad social de afiliación obligatoria | agricultura, ganadería, caza y silvicultura | agricultura, ganadería, caza y servicios conexos | asociaciones",326.2_ACT_INMOBILER__40 | 326.2_ADM_PUBLICRIA__57 | 326.2_AGRI_GANADURA__32 | 326.2_AGRI_GANADXOS__32 | 326.2_ASOCIACIONNES__12
Puestos de trabajo registrados por sector de actividad económica en el sector privado. Datos anuales.,En millones de pesos,Actividad,A,65,"actividades inmobiliarias, empresariales y de alquiler | administración pública y defensa; planes de seguridad social de afiliación obligatoria | agricultura, ganadería, caza y silvicultura | agricultura, ganadería, caza y servicios conexos | asociaciones",325.1_ACTIVIDADELER__50 | 325.1_ADM_PUBLICLIG__44 | 325.1_AGRICULTURURA__39 | 325.1_AGRICULTURXOS__44 | 325.1_ASOCIACIONNES__12
Puestos de trabajo registrados por sector de actividad económica en el sector privado. Datos trimestrales.,En millones de pesos,Actividad,T,65,"actividades inmobiliarias, empresariales y de alquiler | administración pública y defensa; planes de seguridad social de afiliación obligatoria | agricultura, ganadería, caza y silvicultura | agricultura, ganadería, caza y servicios conexos | asociaciones",325.2_ACTIVIDADELER__50 | 325.2_ADM_PUBLICLIG__44 | 325.2_AGRICULTURURA__39 | 325.2_AGRICULTURXOS__44 | 325.2_ASOCIACIONNES__12
Remuneración neta por sector de actividad económica en el sector privado. Datos anuales.,Pesos,Actividad,A,65,"actividades inmobiliarias, empresariales y de alquiler | administración pública y defensa; planes de seguridad social de afiliación obligatoria | agricultura, ganadería, caza y silvicultura | agricultura, ganadería, caza y servicios conexos | asociaciones",328.1_ACT_INMOBILER__40 | 328.1_ADM_PUBLICRIA__57 | 328.1_AGRI_GANADURA__32 | 328.1_AGRI_GANADXOS__32 | 328.1_ASOCIACIONNES__12
Remuneración neta por sector de actividad económica en el sector privado. Datos trimestrales.,Pesos,Actividad,T,65,"actividades inmobiliarias, empresariales y de alquiler | administración pública y defensa; planes de seguridad social de afiliación obligatoria | agricultura, ganadería, caza y silvicultura | agricultura, ganadería, caza y servicios conexos | asociaciones",328.2_ACT_INMOBILER__40 | 328.2_ADM_PUBLICRIA__57 | 328.2_AGRI_GANADURA__32 | 328.2_AGRI_GANADXOS__32 | 328.2_ASOCIACIONNES__12
Remuneración total por sector de actividad económica en el sector privado. Datos anuales.,Pesos,Actividad,A,65,"actividades inmobiliarias, empresariales y de alquiler | administración pública y defensa; planes de seguridad social de afiliación obligatoria | agricultura, ganadería, caza y silvicultura | agricultura, ganadería, caza y servicios conexos | asociaciones",327.1_ACT_INMOBILER__40 | 327.1_ADM_PUBLICRIA__57 | 327.1_AGRI_GANADURA__32 | 327.1_AGRI_GANADXOS__32 | 327.1_ASOCIACIONNES__12
Remuneración total por sector de actividad económica en el sector privado. Datos trimestrales.,Pesos,Actividad,T,65,"actividades inmobiliarias, empresariales y de alquiler | administración pública y defensa; planes de seguridad social de afiliación obligatoria | agricultura, ganadería, caza y silvicultura | agricultura, ganadería, caza y servicios conexos | asociaciones",327.2_ACT_INMOBILER__40 | 327.2_ADM_PUBLICRIA__57 | 327.2_AGRI_GANADURA__32 | 327.2_AGRI_GANADXOS__32 | 327.2_ASOCIACIONNES__12
Tesoro Nacional. Valores trimestrales 1993-2006,Millones de pesos,Finanzas Públicas,T,64,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda externa . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006,373.4_AP_FIN_AMO006_0_T_55_38 | 373.4_AP_FIN_AMO006_0_T_57_18 | 373.4_AP_FIN_AMO006__55_62 | 373.4_AP_FIN_AMO006__57_4 | 373.4_AP_FIN_CAM006__58_81
Organismos Descentralizados. Valores anuales 1993-2006,Millones de pesos,Finanzas Públicas,A,63,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 1993 - 2006 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización deuda interna . Metodología 1993 - 2006 | Aplicaciones financieras inversión financiera . Metodología 1993 - 2006,375.1_AP_FIN_AMO006_0_A_55_1 | 375.1_AP_FIN_AMO006__55_14 | 375.1_AP_FIN_AMO006__57_41 | 375.1_AP_FIN_CAM006__58_92 | 375.1_AP_FIN_CIN006__25_16
Sector Público Nacional. Valores anuales 2017,Millones de pesos,Finanzas Públicas,A,63,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2017 | Aplicaciones financieras inversión financiera . Metodología 2017 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2017,379.3_AP_FIN_AMO017_II_0_A_50_25 | 379.3_AP_FIN_AMO017__50_1 | 379.3_AP_FIN_AMO017__52_59 | 379.3_AP_FIN_CIN017__20_5 | 379.3_AP_FIN_GTO017__39_63
"Empresas Públicas, PAMI, Fondos Fiduciarios y Otros. Valores mensuales 2007-2014",Millones de pesos,Finanzas Públicas,M,62,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras disminucion del patrimonio . Metodología 2007 - 2014,378.8_AP_FIN_AMO014_II_0_M_55_39 | 378.8_AP_FIN_AMO014__55_28 | 378.8_AP_FIN_AMO014__57_55 | 378.8_AP_FIN_CIN014__25_69 | 378.8_AP_FIN_DIS014__24_17
